name,lat,lon,x,y
Medicine Hat,50.0333,-110.6833,202,357
Ottawa,45.4167,-75.7,304,354
Bangui,4.3666,18.5583,714,508
Brazzaville,-4.2592,15.2847,698,535
Zurich,47.38,8.55,669,370
Geneva,46.21,6.14,669,370
Bern,46.9167,7.467,669,370
Yamoussoukro,6.8184,-5.2755,620,506
Avarua,-21.25,-159.75,1344,517
Santiago,-33.45,-70.667,375,648
Santa Barbara,-37.67,-72.02,375,648
Yaounde,3.8667,11.5167,686,508
Shanghai,31.2165,121.4365,1090,433
Lhasa,29.645,91.1,982,432
Quanzhou,24.9,118.58,1074,453
Beijing,39.9289,116.3883,1082,390
Qinzhou,21.9504,108.62,1059,456
Hangzhou,30.25,120.17,1073,446
Bogota,4.5964,-74.0833,364,514
San Jose,9.935,-84.0841,321,487
Havana,23.132,-82.3642,354,462
Guantanamo,20.1453,-75.2061,354,462
Praia,14.9167,-23.5167,554,481
Willemstad,12.2004,-69.02,410,483
Flying Fish Cove,-10.4167,105.7167,1049,463
Nicosia,35.1667,33.3666,730,411
Prague,50.0833,14.466,688,356
Berlin,52.5218,13.4015,679,346
Munich,48.1299,11.575,679,346
Stuttgart,48.78,9.2,679,346
Dresden,51.05,13.75,679,346
Dortmund,51.53,7.45,679,346
Frankfurt,50.1,8.675,679,346
Djibouti,11.595,43.148,800,492
Svendborg,55.0704,10.6167,674,327
Roseau,15.301,-61.387,382,469
Monte Cristi,19.867,-71.65,382,469
Santo Domingo,18.4701,-69.9001,382,469
Algiers,36.7631,3.0506,643,434
Quito,-0.215,-78.5001,350,531
Santa Cruz,-0.5333,-90.35,350,531
Tallinn,59.4339,24.728,740,308
Cairo,30.05,31.25,754,436
Alexandria,31.2,29.95,750,439
Luxor,25.7,32.65,740,448
Asmara,15.3333,38.9333,780,478
Barcelona,41.3833,2.1834,626,394
Las Palmas,28.1,-15.43,626,394
Toledo,39.867,-4.0167,626,394
Merida,38.912,-6.338,626,394
Cordoba,37.88,-4.77,626,394
Granada?,37.165,-3.585,626,394
Guadalajara,40.6337,-3.1666,626,394
Madrid,40.4,-3.6834,626,394
Alicante,38.3512,-0.4836,626,394
Addis Ababa,9.0333,38.7,791,495
Helsinki,60.1756,24.9341,742,278
Suva,-18.133,178.4417,1302,578
Stanley,-51.7,-57.85,422,702
Palikir,6.9166,158.15,1199,501
Torshavn,62.03,-6.82,618,282
Marseille,43.29,5.375,650,362
Paris,48.8667,2.3333,650,362
Montpellier,43.6104,3.87,650,362
Bordeaux,44.85,-0.595,650,362
Versailles,48.8005,2.1333,650,362
Nice,43.715,7.265,650,362
Libreville,0.3854,9.458,686,530
Oxford,51.7704,-1.25,634,343
Nottingham,52.9703,-1.17,634,343
Winchester,51.0167,-1.3167,634,343
Wembley,51.55,-0.2833,634,343
Coventry,52.4204,-1.5,634,343
Leicester,52.63,-1.1332,634,343
Beverley,53.8333,-0.4167,634,343
